input,label
What is the reference for the door on an Audi A3?,AA34517
What's the part number for BMW 3 Series headlight?,BM45982
Can you provide the reference for Toyota Camry windshield?,TC78234
What is the reference code for Honda Civic brake pads?,HC56789
What's the part number for Mercedes C-Class air filter?,MC12345
Reference for Ford Focus alternator?,FF87654
What is the reference for Volkswagen Golf radiator?,VG23456
Part number for Hyundai Elantra oil filter?,HE34567
What's the reference for Nissan Altima spark plugs?,NA45678
Reference code for Kia Sportage side mirror?,KS56789
What is the part number for Mazda CX-5 fuel pump?,MC67890
Reference for Subaru Outback timing belt?,SO78901
What's the reference for Chevrolet Malibu shock absorber?,CM89012
Part number for Lexus RX350 battery?,LR90123
What is the reference for Volvo XC60 wiper blades?,VX01234
Reference code for Jeep Wrangler starter motor?,JW12345
What's the part number for Tesla Model 3 charging port?,TM23456
What is the reference for Porsche 911 brake discs?,PN34567
Reference for Fiat 500 clutch kit?,FF45678
What's the part number for Mini Cooper water pump?,MC56789
Reference code for Land Rover Discovery air suspension?,LD67890
What is the reference for Jaguar XF exhaust manifold?,JX78901
Part number for Renault Clio transmission?,RC89012
What's the reference for Peugeot 308 catalytic converter?,PT90123
Reference for Citroen C3 power steering pump?,CC01234
What is the part number for Audi Q5 taillight?,AQ12345
Reference code for BMW X5 door handle?,BX23456
What's the reference for Toyota Prius hybrid battery?,TP34567
Part number for Honda Accord steering wheel?,HA45678
What is the reference for Mercedes E-Class sunroof?,ME56789
Reference for Ford Mustang engine mount?,FM67890
What's the part number for Volkswagen Passat gearbox?,VP78901
Reference code for Hyundai Tucson front bumper?,HT89012
What is the reference for Nissan Qashqai rear bumper?,NQ90123
Part number for Kia Rio roof rack?,KR01234
What's the reference for Mazda 3 side skirts?,MT12345
Reference for Subaru Forester fog lights?,SF23456
What is the part number for Chevrolet Cruze thermostat?,CC34567
Reference code for Lexus IS300 seat belt?,LI45678
What's the reference for Volvo S60 control arm?,VS56789
Part number for Jeep Cherokee fuel tank?,JC67890
What is the reference for Tesla Model S touch screen?,TS78901
Reference for Porsche Cayenne air compressor?,PC89012
What's the part number for Fiat Punto radiator fan?,FP90123
Reference code for Mini Countryman suspension springs?,MC01234
What is the reference for Land Rover Range Rover ABS module?,LR12345
Part number for Jaguar F-Pace differential?,JF23456
What's the reference for Renault Megane wheel bearing?,RM34567
Reference for Peugeot 208 ECU?,PE45678
What is the part number for Citroen C4 oxygen sensor?,CC56789
Reference code for Audi A4 turbocharger?,AA67890
What's the reference for BMW 5 Series intercooler?,BF78901
Part number for Toyota RAV4 driveshaft?,TR89012
What is the reference for Honda CR-V fuel injector?,HC90123
Reference for Mercedes GLC alternator belt?,MG01234
What's the part number for Ford Fiesta window regulator?,FF12345
Reference code for Volkswagen Tiguan intake manifold?,VT23456
What is the reference for Hyundai Santa Fe throttle body?,HS34567
Part number for Nissan Juke steering rack?,NJ45678
What's the reference for Kia Sorento lambda sensor?,KS56789
Reference for Mazda 6 wheel hub?,MS67890
What is the part number for Subaru Impreza clutch plate?,SI78901
Reference code for Chevrolet Spark ignition coil?,CS89012
What's the reference for Lexus NX200 drive belt?,LN90123
Part number for Volvo V90 rear light cluster?,VV01234
What is the reference for Jeep Renegade camshaft?,JR12345
Reference for Tesla Model Y window switch?,TY23456
What's the part number for Porsche Macan brake calipers?,PM34567
Reference code for Fiat Ducato starter relay?,FD45678
What is the reference for Mini Cooper brake master cylinder?,MC56789
Part number for Land Rover Defender transfer case?,LD67890
What's the reference for Jaguar E-Pace door seal?,JE78901
Reference for Renault Kadjar cabin filter?,RK89012
What is the part number for Peugeot 508 exhaust pipe?,PF90123
Reference code for Citroen Berlingo head gasket?,CB01234
What's the reference for Audi TT coil spring?,AT12345
Part number for BMW i3 electric motor?,BI23456
What is the reference for Toyota Hilux ball joint?,TH34567
Reference for Honda Jazz CV joint?,HJ45678
What's the part number for Mercedes A-Class fuel filter?,MA56789
Reference code for Ford Kuga fan belt?,FK67890
What is the reference for Volkswagen Polo EGR valve?,VP78901
Part number for Hyundai i30 crankshaft sensor?,HI89012
What's the reference for Nissan Micra wheel arch liner?,NM90123
Reference for Kia Ceed brake light switch?,KC01234
What is the part number for Mazda MX-5 convertible roof motor?,MM12345
Reference code for Subaru XV stabilizer link?,SX23456
What's the reference for Chevrolet Aveo tie rod end?,CA34567
Part number for Lexus CT200h hybrid inverter?,LC45678
What is the reference for Volvo XC40 door lock?,VX56789
Reference for Jeep Compass glow plugs?,JC67890
What's the part number for Tesla Model X air conditioning compressor?,TX78901
Reference code for Porsche Panamera leather seat?,PP89012
What is the reference for Fiat Tipo wiper motor?,FT90123
Part number for Mini One radiator cap?,MO01234
What's the reference for Land Rover Freelander transfer box seal?,LF12345
Reference for Jaguar XE climate control unit?,JX23456
What is the reference for Aston Martin DB11 fuel cap?,AM78945
Reference code for Alfa Romeo Giulia wheel nuts?,AR45612
What's the part number for Bentley Continental airbag sensor?,BC34789
Part number for Bugatti Chiron transmission fluid pump?,BC67234
What is the reference for Cadillac Escalade rear view mirror?,CE89432
Reference for Dacia Sandero clutch cylinder?,DS23498
What's the part number for Ferrari 488 brake light bulb?,FB56723
Reference code for GMC Yukon window motor?,GY98734
What is the reference for Infiniti Q50 door latch?,IQ54321
Part number for Isuzu D-Max clutch master cylinder?,ID78654
What's the reference for Koenigsegg Agera cooling fan?,KA43567
Reference for Lamborghini Huracan serpentine belt?,LH87234
What is the part number for Lotus Elise throttle position sensor?,LE56432
Reference code for Maserati Ghibli fuse box?,MG12879
What's the reference for McLaren 720S windshield wiper?,MC80765
Part number for Opel Corsa radiator hose?,OC76543
What is the reference for Pagani Huayra ignition switch?,PH34598
